,LDPC_code,Prob_block_error,SNRbDB,SNRcDB,average_probaility_error,count_time,message_sending_time,noise_set,scaling_factor,xlen,ylen
0.0,MacKeyCode_96.33.963_clip0.01,0.992,1.9382,-1.0721,0.10616666666666667,18.13,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip0.01,0.9490000000000001,3.7417,0.7314,0.05954166666666666,17.71,1000.0,0.65,204,408
0.0,MacKeyCode_96.33.963_clip0.01,0.6759999999999999,6.0206,3.0103,0.023229166666666662,16.02,1000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip1,1.0,0.0,-3.0103,0.15627083333333333,17.8,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip1,0.991,1.9382,-1.0721,0.10358333333333332,17.74,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip1,0.868,4.437,1.4267,0.0458125,17.73,1000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip1,0.6292,6.0206,3.0103,0.02053125,156.8,10000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip2.5,0.955,0.0,-3.0103,0.1325,17.65,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip2.5,0.473,1.9382,-1.0721,0.042520833333333334,13.09,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip2.5,0.011800000000000031,4.437,1.4267,0.0009270833333333334,39.19,10000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip2.5,0.00034000000000000696,6.0206,3.0103,2.8125e-05,235.29,100000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip20,0.902,0.0,-3.0103,0.1270625,17.58,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip20,0.292,1.9382,-1.0721,0.029580000000000002,10.53,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip20,0.00283,4.437,1.4267,0.00027919999999999996,299.33,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip20,3e-05,6.0206,3.0103,8.582999999999999e-06,1930.78,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip30,0.9,0.0,-3.0103,0.12525,16.98,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip30,0.301,1.9382,-1.0721,0.029710000000000004,10.77,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip30,0.00311,4.437,1.4267,0.0002804,298.17,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip30,4e-05,6.0206,3.0103,1.31875e-05,1961.01,1000000.0,0.5,204,408
0.0,MacKeyCode_96.33.963_clip100,0.914,0.0,-3.0103,0.130625,17.37,1000.0,1.0,204,408
0.0,MacKeyCode_96.33.963_clip100,0.267,1.9382,-1.0721,0.027625,10.4,1000.0,0.8,204,408
0.0,MacKeyCode_96.33.963_clip100,0.00313,4.437,1.4267,0.0002773,298.88,100000.0,0.6,204,408
0.0,MacKeyCode_96.33.963_clip100,3.66e-05,6.0206,3.0103,1.1417e-05,1922.64,1000000.0,0.5,204,408
